"category","word","meaning","example","translation","count"
"word formation","pay","overpay, /ˌəʊvəˈpeɪ/: trả quá nhiều tiền; underpay, /ˌʌndəˈpeɪ/: trả lương quá thấp; repay, /rɪˈpeɪ/: trả lại; overpayment, /ˌəʊvəˈpeɪmənt/: trả vượt mức; underpayment, /ˌʌndəˈpeɪmənt/: trả lương thấp; repayment, /rɪˈpeɪmənt/: sự trả lại; payback, /ˈpeɪbæk/: lợi tức; payee, /ˌpeɪˈiː/: người nhận tiền; payer, /ˈpeɪə(r)/: người trả tiền; payload, /ˈpeɪləʊd/: tải trọng; payoff, /ˈpeɪɒf/: tiền bồi dưỡng; payable, /ˈpeɪəbl/: phải trả; payroll, /ˈpeɪrəʊl/: bảng lương; payslip, /ˈpeɪslɪp/: phiếu lương; overpaid, /ˌəʊvəˈpeɪd/: được trả quá cao; underpaid, /ˌʌndəˈpeɪd/: bị trả quá thấp;","They overpay their employees; Many teachers are underpaid; I’ll repay the loan soon; His overpayment was refunded; The underpayment caused issues; The repayment is due tomorrow; She got her payback; The payee was verified; The payer is responsible; The payload is too heavy; He received a payoff; The invoice is payable next week; Check your payroll account; I lost my payslip; He’s definitely overpaid; Nurses are often underpaid;","trả",0
"word formation","perceive","perception, /pəˈsepʃn/; perceptiveness, /pəˈseptɪvnəs/; (im)perceptible, /(ɪm)ˈpɜːsəptəbl/; (im)perceptively, /(ɪm)ˈpɜːsəptɪvli/","Her perception differed from others. His perceptiveness impressed the team. The sound was barely perceptible. She observed perceptively.","sự nhận thức; khả năng nhận thức; (không) thể cảm nhận được; (một cách) (không) nhạy bén",0
"word formation","perfect","perfection, /pəˈfekʃn/; perfectionist, /pəˈfekʃənɪst/; perfectionism, /pəˈfekʃənɪzəm/; perfectible, /pəˈfektəbl/; perfectly, /ˈpɜːfɪktli/; imperfect(ly), /ɪmˈpɜːfɪkt(li)/","He pursued perfection tirelessly. She's known as a perfectionist. Perfectionism slowed her progress. This model is perfectible. Everything worked perfectly. The surface is imperfect.","sự hoàn hảo; người cầu toàn; chủ nghĩa hoàn hảo; có thể hoàn thiện; một cách hoàn hảo; (một cách) không hoàn hảo",0
"word formation","period","periodical, /ˌpɪəriˈɒdɪkl/; periodically, /ˌpɪəriˈɒdɪkli/","She subscribes to a periodical. We update the policy periodically.","tạp chí định kỳ; một cách định kỳ",0
"word formation","permit","permission, /pəˈmɪʃn/; permissiveness, /pəˈmɪsɪvnəs/; permissive, /pəˈmɪsɪv/; permissible, /pəˈmɪsəbl/","He lacked permission to enter. Her permissiveness caused issues. It's a permissive environment. That behavior isn’t permissible.","sự cho phép; tính dễ dãi; dễ dãi; có thể chấp nhận",0
"word formation","persist","persistence, /pəˈsɪstəns/; persistent(ly), /pəˈsɪstəntli/","Her persistence won him over. He emailed persistently for updates.","sự kiên trì; (một cách) kiên trì",0
"word formation","person","personalise, /ˈpɜːsənaɪz/; impersonate, /ɪmˈpɜːsəneɪt/; personality, /ˌpɜːsəˈnæləti/; personnel, /ˌpɜːsəˈnel/; interpersonal, /ˌɪntəˈpɜːsənl/; (im)personal(ly), /(ˌɪm)ˈpɜːsənəli/","Users can personalise their dashboard. He impersonated a celebrity. Her personality is warm. All personnel must attend. Interpersonal skills matter. Don’t take it personally.","cá nhân hóa; giả danh; tính cách; nhân sự; giữa các cá nhân; (một cách) (không) cụ thể, riêng tư",0
"word formation","persuade","dissuade, /dɪˈsweɪd/; persuasion, /pəˈsweɪʒn/; persuasive(ly), /pəˈsweɪsɪv(li)/","They tried to dissuade him. Her persuasion succeeded. He spoke persuasively.","ngăn cản, thuyết phục từ bỏ; sự thuyết phục; (một cách) thuyết phục",0
"word formation","phrase","rephrase, /ˌriːˈfreɪz/; paraphrase, /ˈpærəfreɪz/; phrasing, /ˈfreɪzɪŋ/; phraseology, /ˌfreɪziˈɒlədʒi/","Could you rephrase the question? Try paraphrasing this idea. The phrasing was awkward. His phraseology was complex.","diễn đạt bằng cách khác; diễn giải, diễn đạt; cách phân nhịp; ngữ cú, cách nói viết",0
"word formation","fold 2","enfold, /ɪnˈfəʊld/; unfold, /ʌnˈfəʊld/; folder, /ˈfəʊldə(r)/; (un)folding, /(ʌn)ˈfəʊldɪŋ/; foldaway, /ˈfəʊldəweɪ/","She enfolded the scarf gently. Events began to unfold. Place it in the folder. This is a folding design. The foldaway table is handy.","gấp nếp, bọc lại; mở ra, bày ra; thư mục; (không) gấp lại được; gấp/kép lại được",0
"word formation","fortune","misfortune, /ˌmɪsˈfɔːtʃuːn/; (un)fortunate(ly), /(ʌn)ˈfɔːtʃənət(li)/; fortuitous(ly), /fɔːˈtjuːɪtəs(li)/","They met by misfortune. Fortunately, he escaped. She won fortuitously.","điều không may; (một cách) (không) may mắn; tình cờ, ngẫu nhiên",0
"word formation","fruit","fruitfulness, /ˈfruːtflnəs/; fruitlessness, /ˈfruːtləsnəs/; fruition, /fruːˈɪʃn/; fruitful(ly), /ˈfruːtfl(i)/; fruitless(ly), /ˈfruːtləsli/","The orchard shows fruitfulness. The plan ended in fruitlessness. Their ideas came to fruition. They negotiated fruitfully. He waited fruitlessly.","sự sai quả, khả năng thành công; sự không ra quả; sự kết trái, sự hưởng; (một cách) thành công; (một cách) vô ích",0
"word formation","future","futurist, /ˈfjuːtʃərɪst/; futuristic(ally), /ˌfjuːtʃəˈrɪstɪk(ə)li)/","A futurist envisioned space cities. The gadget works futuristically.","người theo thuyết vị lai; (một cách) thuộc về tương lai",0
"word formation","go","undergo, /ˌʌndəˈɡəʊ/; went, /went/; for(e)go, /fəˈɡəʊ/; for(e)went, /fəˈwent/; for(e)gone, /fəˈɡɒn/; ongoing, /ˈɒnɡəʊɪŋ/; outgoing, /ˈaʊtɡəʊɪŋ/","She had to undergo treatment. He went out early. They forego luxuries. The result was foregone. Talks are ongoing. He's outgoing and cheerful.","trải qua; quá khứ của go; đi trước; quá khứ của forego; quá khứ phân từ của forego; đang diễn ra; cởi mở",0
"word formation","good","goods, /ɡʊdz/; goodness, /ˈɡʊdnəs/; goodwill, /ˌɡʊdˈwɪl/; goody/goodie, /ˈɡʊdi/","The shop sells various goods. She is full of goodness. Their gesture showed goodwill. He played the goody in the tale.","hàng hóa; lòng tốt; thiện chí; người tốt",0
"word formation","govern","misgovern, /ˌmɪsˈɡʌvn/; government, /ˈɡʌvənmənt/; governor, /ˈɡʌvənə(r)/; governess, /ˈɡʌvənəs/; governing, /ˈɡʌvnɪŋ/; governmental, /ˌɡʌvənˈmentl/; ungovernable, /ʌnˈɡʌvənəbl/","They misgoverned the province. The government responded quickly. A new governor was elected. She worked as a governess. That’s the governing rule. Governmental bodies acted. The protest was ungovernable.","cai trị sai; chính phủ; thống đốc; cô giáo; có quyền cai trị; thuộc chính phủ; không thể kiểm soát",0
"word formation","hand","handle (verb) /ˈhændl/; handler (noun) /ˈhændlə(r)/; handling (noun) /ˈhændlɪŋ/; handout (noun) /ˈhændaʊt/; handover (noun) /ˈhændəʊvə(r)/; handful (noun) /ˈhændfʊl/; handmade (adj) /ˌhændˈmeɪd/; underhand (adj) /ˌʌndəˈhænd/","She handled multiple tasks without complaints; The handler kept the animal calm throughout the event; Safe handling of chemicals is required in this lab; Each participant received a handout at the start; The handover to the new manager was smooth; He grabbed a handful of sand; These necklaces are all handmade by local artisans; Their underhand tactics were eventually exposed","xử lý; người điều khiển; cách xử lý; tài liệu phát ra; sự bàn giao; một nắm tay; đồ do tay làm; lén lút",0
"word formation","hard","handy (adj) /ˈhændi/; hardship (noun) /ˈhɑːdʃɪp/; hardness (noun) /ˈhɑːdnəs/; hardy (adj) /ˈhɑːdi/","This screwdriver is very handy for minor repairs; They overcame years of hardship together; Test the hardness of the metal before using it; These flowers are hardy and survive the cold","có ích, tiện tay; sự gian khổ; độ cứng; chịu khó, bền",0
"word formation","hear","overhear (verb) /ˌəʊvəˈhɪə(r)/; hearing (noun) /ˈhɪərɪŋ/; hearsay (noun) /ˈhɪəseɪ/","He overheard them planning a surprise; Her hearing was tested at the clinic; Don’t make decisions based on hearsay","nghe lỏm; thính giác; tin đồn",0
"word formation","high","heighten (verb) /ˈhaɪtn/; highbrow (adj) /ˈhaɪbraʊ/; highly (adv) /ˈhaɪli/; highlight (verb) /ˈhaɪlaɪt/; height (noun) /haɪt/; heights (noun) /haɪts/","Security measures were heightened during the event; The gallery displays highbrow works of art; She is highly regarded by her colleagues; The report highlights recent achievements; The tower’s height makes it visible for miles; Many people are afraid of heights","làm cao thêm; xa rời thực tế; ở mức độ cao; làm nổi bật; chiều cao; đỉnh cao",0
"word formation","history","historian (noun) /hɪˈstɔːriən/; historic (adj) /hɪˈstɒrɪk/; historical(ly) (adj/adv) /hɪˈstɒrɪkl(i)/","A historian studied ancient artifacts; It was a historic match for the team; Historically, the region has faced many challenges","nhà sử học; mang tính lịch sử; (một cách) thuộc lịch sử",0
"word formation","house","housing (noun) /ˈhaʊzɪŋ/; household(er) (noun) /ˈhaʊshəʊld(ə)/; houseful (noun) /ˈhaʊsfʊl/","Affordable housing is needed in cities; The householder welcomed the inspectors; There was a houseful of relatives for the holiday","nhà ở; hộ gia đình; đầy một nhà",0
"word formation","human","humanise (verb) /ˈhjuːmənaɪz/; humanity (noun) /hjuːˈmænəti/; humanism (noun) /ˈhjuːmənɪzəm/; humanist (noun) /ˈhjuːmənɪst/; humanities (noun) /hjuːˈmænətiz/; humanitarian (noun) /hjuːˌmænɪˈteəriən/; humane (adj) /hjuːˈmeɪn/; humanly (adv) /ˈhjuːmənli/","Leaders try to humanise workplace policies; Humanity has achieved remarkable progress; She is an expert in humanism; The humanist advocated for equal rights; He teaches the humanities at university; A humanitarian worked tirelessly during the crisis; The organization takes a humane approach; It’s not humanly possible to finish so soon","nhân hóa; nhân loại; chủ nghĩa nhân đạo; người theo chủ nghĩa nhân đạo; các môn nhân văn; người nhân đạo; nhân văn; từ góc độ con người",0
"word formation","ideal","idealise (verb) /aɪˈdɪəlaɪz/; idealism (noun) /ˈaɪdiəlɪzəm/; idealisation (noun) /ˌaɪdɪələˈzeɪʃn/; idealist (noun) /ˈaɪdiəlɪst/; idealistic (adj) /ˌaɪdiəˈlɪstɪk/; idealised (adj) /ˈaɪdiəlaɪzd/; ideally (adv) /aɪˈdɪəli/","Don’t idealise the past; Her idealism inspired those around her; The novel is a romantic idealisation of youth; He’s an idealist at heart; She offered an idealistic perspective; The movie portrayed an idealised version of history; Ideally, meetings should be short","lý tưởng hóa; chủ nghĩa lý tưởng; sự lý tưởng hóa; người theo chủ nghĩa lý tưởng; duy tâm; được lý tưởng hóa; một cách lý tưởng",0
"word formation","illusion","disillusion (verb/noun) /ˌdɪsɪˈluːʒn/; disillusionment (noun) /ˌdɪsɪˈluːʒnmənt/; disillusioned (adj) /ˌdɪsɪˈluːʒnd/; illusory (adj) /ɪˈluːsəri/","Travel can disillusion people about stereotypes; His disillusionment became clear after the meeting; She grew disillusioned with politics; The promise of easy money proved illusory","sự vỡ mộng; sự làm vỡ mộng; bị vỡ mộng; ảo tưởng, viển vông",0
"word formation","imagine","imagination (noun) /ɪˌmædʒɪˈneɪʃn/; imaginings (noun) /ɪˈmædʒɪnɪŋz/; imaginative(ly) (adj/adv) /ɪˈmædʒɪnətɪv(li)/; (un)imaginative(ly) (adj/adv) /(ʌn)ɪˈmædʒɪnətɪv(li)/","Children’s imagination knows no bounds; Her imaginings inspired her artwork; He solved the problem imaginatively; The story was written unimaginatively","trí tưởng tượng; những hình dung; (một cách) giàu trí tưởng tượng; (một cách) (không) giàu trí tưởng tượng",0
"word formation","imitate","imitation (noun) /ˌɪmɪˈteɪʃn/; imitator (noun) /ˈɪmɪteɪtə(r)/; imitative (adj) /ˈɪmɪtətɪv/; inimitable (adj) /ɪˈnɪmɪtəbl/","This purse is only an imitation; The comedian was a skilled imitator; Her work is imitative of modern trends; His performance was inimitable","sự bắt chước; kẻ bắt chước; có tính bắt chước; không thể bắt chước được",0
"word formation","imply","implicate (verb) /ˈɪmplɪkeɪt/; implication (noun) /ˌɪmplɪˈkeɪʃn/; implicit(ly) (adj/adv) /ɪmˈplɪsɪt(li)/","The investigation implicated several people; The implication was never stated openly; She agreed implicitly to the terms","lôi kéo, dính líu; sự liên can; (một cách) ngầm định",0
"word formation","impress","impression (noun) /ɪmˈpreʃn/; (un)impressiveness (noun) /(ʌn)ɪmˈpresɪvnəs/; impressionist (noun) /ɪmˈpreʃənɪst/; impressionable (adj) /ɪmˈpreʃənəbl/; impressionistic (adj) /ˌɪmpreʃəˈnɪstɪk/; (un)impressive(ly) (adj/adv) /(ʌn)ɪmˈpresɪvli/","The teacher left a lasting impression; The design lacked impressiveness; She is a well-known impressionist; Young students can be impressionable; The review was impressionistic rather than factual; He performed impressively on stage","ấn tượng; sự (không) ấn tượng; người theo trường phái ấn tượng; dễ bị ảnh hưởng; thuộc trường phái ấn tượng; (một cách) (không) gây ấn tượng",0
"word formation","improve","improvement (noun) /ɪmˈpruːvmənt/; improvable (adj) /ɪmˈpruːvəbl/; improved (adj) /ɪmˈpruːvd/","She made steady improvement throughout the year; The process is improvable with feedback; This is an improved version of the software","sự cải thiện; có thể cải thiện; được cải thiện",0
"word formation","incident","incidence (noun) /ˈɪnsɪdəns/","There has been a high incidence of theft in this area","tần suất, tỉ lệ mắc phải",0
"word formation","coincide","coincidence (noun) /kəʊˈɪnsɪdəns/; coincidental(ly) (adj/adv) /kəʊˌɪnsɪˈdentl(i)/","Their arrival was pure coincidence; They met coincidentally at a café","sự trùng hợp; (một cách) ngẫu nhiên",0
"word formation","indicate","indication (noun) /ˌɪndɪˈkeɪʃn/; indicator (noun) /ˈɪndɪkeɪtə(r)/; indicative (adj) /ɪnˈdɪkətɪv/","A rash can be an indication of illness; The indicator showed a full battery; The growth is indicative of recovery","sự biểu thị; tín hiệu; chỉ ra",0
"word formation","individual","individualise (verb) /ˌɪndɪˈvɪdʒuəlaɪz/; individualism (noun) /ɪnˈdɪvɪdʒuəlɪzəm/; individuality (noun) /ˌɪndɪˌvɪdʒuˈæləti/; individualist (noun) /ɪnˈdɪvɪdʒuəlɪst/; individualistic (adj) /ˌɪndɪˌvɪdʒuəˈlɪstɪk/","Teachers try to individualise assignments; Her belief in individualism shaped her philosophy; His individuality makes him stand out; She is known as an individualist in the workplace; The design is very individualistic","cá nhân hóa; chủ nghĩa cá nhân; cá tính; người theo chủ nghĩa cá nhân; mang tính cá nhân",0
"word formation","influence 2","influential (adj) /ˌɪnfluˈenʃl/","She has become an influential leader in her field","có ảnh hưởng lớn",0
"word formation","inhabit","inhabitant (noun) /ɪnˈhæbɪtənt/; habitat (noun) /ˈhæbɪtæt/; habitation (noun) /ˌhæbɪˈteɪʃn/; (un)inhabitable (adj) /ʌnˈhæbɪtəbl/","The island is home to many inhabitants; The panda’s habitat is shrinking; The building has been unfit for habitation for years; This desert is uninhabitable","cư dân; môi trường sống; nơi ở; (không) thể ở được",0
"word formation","inherit","inheritance (noun) /ɪnˈherɪtəns/; heritage (noun) /ˈherɪtɪdʒ/; hereditary (adj) /həˈredɪtəri/","He received a large inheritance; Vietnamese water puppetry is a unique heritage; The disorder is hereditary","sự thừa kế; di sản; truyền từ đời này sang đời khác",0
"word formation","insist","insistence (noun) /ɪnˈsɪstəns/; insistent (adj) /ɪnˈsɪstənt/","Their insistence led to a review of the policy; She was insistent that we stay longer","sự khăng khăng; khăng khăng",0
"word formation","instinct","instinctive(ly) (adj/adv) /ɪnˈstɪŋktɪv(li)/","He instinctively shielded his eyes from the light","một cách theo bản năng",0
"word formation","institute","institutionalise (verb) /ˌɪnstɪˈtjuːʃənəlaɪz/; institution (noun) /ˌɪnstɪˈtjuːʃn/; institutional (adj) /ˌɪnstɪˈtjuːʃənl/; institutionalised (adj) /ˌɪnstɪˈtjuːʃnəlaɪzd/","The company decided to institutionalise regular training; He works for a respected institution; They face institutional barriers to change; This custom is now institutionalised in the law","thể chế hóa; tổ chức; thuộc tổ chức; được thể chế hóa",0
"word formation","intend","intention (noun) /ɪnˈtenʃn/; (un)intended (adj) /(ʌn)ɪnˈtendɪd/; (un)intentional(ly) (adj/adv) /(ʌn)ɪnˈtenʃən(ə)li/","He announced his intention to retire; The side effects were unintended; She acted intentionally to avoid confusion","ý định; (không) cố ý; (một cách) (không) có chủ đích",0
"word formation","intimate","intimacy (noun) /ˈɪntɪməsi/; intimately (adv) /ˈɪntɪmətli/","There is great intimacy in their friendship; They know each other intimately","sự thân mật; một cách thân mật",0
"word formation","job","jobbing (adj) /ˈdʒɒbɪŋ/; jobless (adj) /ˈdʒɒbləs/","He took up jobbing tasks to cover expenses; The factory closure left many families jobless","làm việc vặt; thất nghiệp",0
"word formation","electric","electrify (v) /ɪˈlektrɪfaɪ/; electrician (n) /ɪˌlekˈtrɪʃn/; electricity (n) /ɪˌlekˈtrɪsəti/; electrified (adj) /ɪˈlektrɪfaɪd/; electrifying (adj) /ɪˈlektrɪfaɪɪŋ/; electrical (adj) /ɪˈlektrɪkl/","They plan to electrify the entire village soon; The electrician finished wiring the new house; A sudden surge of electricity caused the lights to flicker; The fence was fully electrified for safety; The performance had an electrifying energy; An electrical fault caused the outage","làm nhiễm điện; thợ điện; điện; đã nhiễm điện; đầy hứng khởi; (thuộc) điện",0
"word formation","elude","elusiveness (n) /ɪˈluːsɪvnəs/; elusive (adj) /ɪˈluːsɪv/","The elusiveness of the suspect frustrated investigators; She gave him an elusive answer and left the room","tính lảng tránh; khó nắm bắt",0
"word formation","employ","employment (n) /ɪmˈplɔɪmənt/; unemployment (n) /ˌʌnɪmˈplɔɪmənt/; underemployment (n) /ˌʌndərɪmˈplɔɪmənt/; employer (n) /ɪmˈplɔɪə(r)/; employee (n) /ˌemplɔɪˈiː/; employed (adj) /ɪmˈplɔɪd/; unemployed (adj) /ˌʌnɪmˈplɔɪd/; employable (adj) /ɪmˈplɔɪəbl/; unemployable (adj) /ˌʌnɪmˈplɔɪəbl/","She searched for stable employment in the city; Rising unemployment has become a concern for local leaders; Underemployment remains an issue in many rural areas; The employer interviewed several candidates for the role; Each employee received new training; She felt more employed after accepting a second job; He has been unemployed for months; With her skills, she is highly employable; Chronic illness can make someone unemployable","việc làm; thất nghiệp; thiếu việc; người sử dụng lao động; nhân viên; có việc; thất nghiệp; có thể tuyển dụng; không thể tuyển dụng",0
"word formation","end","endure (v) /ɪnˈdjʊə(r)/; endurance (n) /ɪnˈdjʊərəns/; endurable (adj) /ɪnˈdjʊərəbl/; unendurable (adj) /ʌnˈendɪrəbəl/; unending (adj) /ʌnˈendɪŋ/; ending (n) /ˈendɪŋ/; endless (adj) /ˈendləs/; endlessly (adv) /ˈendləsli/","They must endure harsh conditions to succeed; Endurance is required to complete a marathon; The pain was barely endurable for him; Such noise is simply unendurable at night; The unending rain flooded the village; The movie’s ending surprised everyone; He stared at the endless rows of books; She talked endlessly about her plans","chịu đựng; sức bền; có thể chịu đựng; không thể chịu đựng được; không có hồi kết; sự kết thúc; vô tận; một cách vô tận",0
"word formation","envy","enviable (adj) /ˈenviəbl/; unenviable (adj) /ʌnˈenviəbl/; enviably (adv) /ˈenviəbli/; unenviably (adv) /ʌnˈenviəbli/; envious (adj) /ˈenviəs/; enviously (adv) /ˈenviəsli/","He has an enviable reputation in his field; The position was unenviable due to heavy stress; She lived enviably close to the beach; The job was unenviably complicated; She was envious of her friend’s success; He watched enviously as the winner took the prize","đáng ghen tị; không đáng ghen tị; một cách đáng ghen tị; một cách không đáng ghen tị; ghen tị; một cách ghen tị",0
"word formation","erode","erosion (n) /ɪˈrəʊʒn/","Erosion gradually wore away the old stone bridge","sự xói mòn",0
"word formation","erupt","eruption (n) /ɪˈrʌpʃn/","The sudden eruption startled everyone nearby","sự phun trào",0
"word formation","event","eventuality (n) /ɪˌventʃuˈæləti/; eventful (adj) /ɪˈventfl/; uneventful (adj) /ʌnɪˈventfl/; eventual (adj) /ɪˈventʃuəl/; eventually (adv) /ɪˈventʃuəli/","The company planned for every possible eventuality; It was an eventful year in technology; Their trip was uneventful and relaxing; The eventual results were announced; Eventually, everyone agreed on a solution","tình huống có thể xảy ra; nhiều sự kiện; không có nhiều sự kiện; cuối cùng; cuối cùng",0
"word formation","evolve","evolution (n) /ˌiːvəˈluːʃn/; evolutionary (adj) /ˌiːvəˈluːʃənəri/; evolving (adj) /ɪˈvɒlvɪŋ/","Evolution has shaped life on Earth; This is an evolutionary adaptation in birds; The company is an evolving leader in AI","sự tiến hóa; (thuộc) tiến hóa; đang tiến hóa",0
"word formation","example","exemplify (v) /ɪɡˈzemplɪfaɪ/; exemplification (n) /ɪɡˌzemplɪfɪˈkeɪʃn/; exemplary (adj) /ɪɡˈzempləri/","Her actions exemplify dedication to her team; The case was cited as an exemplification of success; He set an exemplary standard for his peers","minh họa; sự minh họa; mẫu mực",0
"word formation","exclaim","exclamation (n) /ˌekskləˈmeɪʃn/; exclamatory (adj) /eksˈklæmətri/","Her exclamation drew everyone’s attention; He used an exclamatory tone in his reply","câu cảm thán; mang tính cảm thán",0
"word formation","expect","expectation (n) /ˌekspekˈteɪʃn/; expectancy (n) /ɪkˈspektənsi/; expectant (adj) /ɪkˈspektənt/; expectantly (adv) /ɪkˈspektəntli/; expected (adj) /ɪkˈspektɪd/; unexpected (adj) /ʌnɪkˈspektɪd/; expectedly (adv) /ɪkˈspektɪdli/; unexpectedly (adv) /ʌnɪkˈspektɪdli/","Their expectation was to finish early; There was a sense of expectancy in the air; She gave him an expectant look; He waited expectantly for the results; The expected outcome was positive; The unexpected delay disrupted plans; The event ended expectedly well; She left unexpectedly without a word","sự mong đợi; sự chờ đợi; mong chờ; một cách mong chờ; được mong đợi; không ngờ tới; một cách mong đợi; một cách bất ngờ",0
"word formation","explain","explanation (n) /ˌekspləˈneɪʃn/; explanatory (adj) /ɪkˈsplænətri/; unexplained (adj) /ˌʌnɪkˈspleɪnd/; explicable (adj) /ˈeksplɪkəbl/; inexplicable (adj) /ɪnˈeksplɪkəbl/; inexplicably (adv) /ˌɪnɪkˈsplɪkəbli/","She gave a thorough explanation in class; The diagram had several explanatory notes; The illness remains unexplained; The reason is fully explicable now; His absence is inexplicable; The lights flickered inexplicably all evening","sự giải thích; mang tính giải thích; không rõ nguyên nhân; có thể giải thích; không thể giải thích; một cách không thể giải thích",0
"word formation","express","expression (n) /ɪkˈspreʃn/; expressiveness (n) /ɪkˈspreʃɪvnəs/; expressionism (n) /ɪkˈspreʃənɪzəm/; expressionist (n) /ɪkˈspreʃənɪst/; expressive (adj) /ɪkˈspresɪv/; expressionless (adj) /ɪkˈspreʃnləs/; expressionless (n) /ɪkˈspreʃnləsnəs/; expressively (adv) /ɪkˈspresɪvli/","Her expression changed as she listened; His face showed real expressiveness; She studied expressionism in college; The artist is a well-known expressionist; His voice was expressive during the performance; He sat with an expressionless gaze; The cold expressionlessness unsettled her; She nodded expressively","sự biểu lộ; tính diễn cảm; chủ nghĩa biểu hiện; người theo chủ nghĩa biểu hiện; có tính biểu cảm; vô cảm; sự vô cảm; một cách biểu cảm",0
"word formation","extend","extension (n) /ɪkˈstenʃn/; extent (n) /ɪkˈstent/; extended (adj) /ɪkˈstendɪd/; unextended (adj) /ʌnɪkˈstendɪd/; extensible (adj) /ɪkˈstensəbl/; inextensible (adj) /ɪnɪkˈstensəbl/","They built an extension on their home; The extent of the changes surprised many; They enjoyed an extended holiday abroad; The warranty is unextended for older models; This cable is fully extensible; The material proved inextensible under stress","sự mở rộng; mức độ; được mở rộng; không được mở rộng; có thể kéo dài; không thể kéo dài",0
"word formation","extinct","extinction (n) /ɪkˈstɪŋkʃn/","Many endangered species face extinction if trends continue","sự tuyệt chủng",0
"word formation","familiar","familiarise (v) /fəˈmɪliəraɪz/; familiarity (n) /fəˌmɪliˈærəti/; unfamiliarity (n) /ʌnfəˌmɪliˈærəti/; unfamiliar (adj) /ˌʌnfəˈmɪliə(r)/; familiarly (adv) /fəˈmɪliəli/","He tried to familiarise himself with the software; Her familiarity with the city made navigation easy; His unfamiliarity with local customs was clear; The area felt unfamiliar after so many years; She spoke familiarly to the group","làm cho quen; sự quen thuộc; sự không quen thuộc; không quen thuộc; một cách thân mật",0
"word formation","favour","favouritism (n) /ˈfeɪvərɪtɪzəm/; favourite (n) /ˈfeɪvərɪt/; favourable (adj) /ˈfeɪvərəbl/; unfavourable (adj) /ʌnˈfeɪvərəbl/; favourably (adv) /ˈfeɪvərəbli/; unfavourably (adv) /ʌnˈfeɪvərəbli/","He was accused of favouritism at work; She is my favourite colleague; The weather was favourable for hiking; The results were unfavourable to our plan; The news was received favourably; The proposal was unfavourably reviewed by management","sự thiên vị; người yêu thích; có thiện chí; không thuận lợi; một cách thuận lợi; một cách không thuận lợi",0
"word formation","finite","infinity (n) /ɪnˈfɪnəti/; infinitive (n) /ɪnˈfɪnətɪv/; infinite (adj) /ˈɪnfɪnət/; infinitely (adv) /ˈɪnfɪnətli/; infinitesimal (adj) /ˌɪnfɪnɪˈtesɪml/; infinitesimally (adv) /ˌɪnfɪnɪˈtesɪməli/","Space is sometimes described as reaching infinity; Use the infinitive form in this sentence; The resources are not infinite; Her patience is infinitely greater than mine; The error margin was infinitesimal; Their chances decreased infinitesimally over time","vô cực; động từ nguyên mẫu; vô hạn; một cách vô hạn; cực nhỏ; một cách cực nhỏ",0
"word formation","flexible","flexibility (n) /ˌfleksəˈbɪləti/; inflexibility (n) /ɪnˌfleksəˈbɪləti/; inflexible (adj) /ɪnˈfleksəbl/","Flexibility in approach can be an advantage; His inflexibility caused problems in negotiations; The rules were too inflexible for exceptions","tính linh hoạt; tính cứng nhắc; cứng nhắc",0
"word formation","character","characterise (v) /ˈkærəktəraɪz/; characterisation (n) /ˌkærəktəraɪˈzeɪʃn/; characteristic (adj) /ˌkærəktəˈrɪstɪk/; uncharacteristic (adj) /ʌnˌkærəktəˈrɪstɪk/; characterless (adj) /ˈkærəktələs/","We can characterise the novel as suspenseful; Her characterisation of the role impressed critics; That response was characteristic of him; His lateness was uncharacteristic; The building looked characterless after renovations","mô tả; sự mô tả; đặc trưng; không đặc trưng; không có bản sắc",0
"word formation","charity","charitableness (n) /ˈtʃærətəblnəs/; charitable (adj) /ˈtʃærətəbl/; uncharitable (adj) /ʌnˈtʃærətəbl/; charitably (adv) /ˈtʃærətəbli/; uncharitably (adv) /ʌnˈtʃærətəbli/","Her charitableness was widely respected; They ran a charitable event for children; His remarks were uncharitable towards his rivals; She donated charitably each year; He commented uncharitably about the error","lòng nhân ái; có lòng nhân ái; không có lòng nhân ái; một cách nhân ái; một cách không nhân ái",0
"word formation","choose 2","chose (v) /tʃəʊz/; chosen (adj) /ˈtʃəʊzn/; choice (n) /tʃɔɪs/; choosy (adj) /ˈtʃuːzi/","He chose to move abroad for work; She is the chosen leader of the team; The choice was difficult to make; He is quite choosy about his food","đã chọn; được chọn; sự lựa chọn; kén chọn",0
"word formation","class 2","outclass (v) /ˌaʊtˈklɑːs/; declassify (v) /ˈdiːˈklæsɪfaɪ/; classify (v) /ˈklæsɪfaɪ/; classics (n) /ˈklæsɪks/; classifieds (n) /ˈklæsɪfaɪdz/; classification (n) /ˌklæsɪfɪˈkeɪʃn/; classlessness (n) /ˈklɑːsləsnəs/; classmate (n) /ˈklɑːsmeɪt/; classroom (n) /ˈklɑːsruːm/; classwork (n) /ˈklɑːswɜːk/; classy (adj) /ˈklɑːsi/","She managed to outclass all her competitors; The report was declassified last year; They classify animals by species; He loves reading the classics; He found a job in the classifieds; The process of classification took months; They promoted classlessness in society; Her classmate helped her with the project; The classroom was filled with laughter; His classwork was always complete; That’s a classy restaurant downtown","vượt trội; giải mật; phân loại; tác phẩm kinh điển; mục rao vặt; sự phân loại; không giai cấp; bạn cùng lớp; phòng học; bài học trên lớp; sang trọng",0
